,country,year,ppl_acc,ppl_no_acc,gdp_capita,e_non_ebt,e_ebt,e_co2_em
145,Bangladesh,2010,84077594,68071508,2421,249.10324016000004,2.053684211,28351751.868255697
146,Bangladesh,2011,91731502,62180414,2772,265.24474252,2.4697368429999997,29226426.558749486
147,Bangladesh,2012,94803851,60923202,2697,288.89332396,2.307894737,32320406.943304583
148,Bangladesh,2013,96906345,60664947,2806,294.69347568,2.284417706,35284636.646107934
149,Bangladesh,2014,99468894,59936385,2901,312.48019354,1.960930101,37566563.514770575
150,Belarus,1990,10189000,0,12857,444.51322265,0.052631579000000005,64888572.877719924
151,Belarus,1991,10194000,0,12658,439.7149207399999,0.047368420999999994,59236697.75131011
152,Belarus,1992,10216000,0,10875,416.02052411999995,0.044736842,56659883.27524805
153,Belarus,1993,10239000,0,11506,333.16975365,0.05,47650917.95778195
154,Belarus,1994,10227000,0,7491,277.62793853,0.05,42519741.0171436
155,Belarus,1995,10194000,0,7142,251.88926232999998,0.052631579000000005,37339188.3607134
156,Belarus,1996,10160000,0,7433,258.28600415,0.042105263,37235680.51810457
157,Belarus,1997,10117000,0,7994,260.85778432,0.055263158,40780013.767142095
158,Belarus,1998,10069000,0,7902,255.2480544,0.073684211,37962324.28771937
159,Belarus,1999,10026738,0,7828,248.47772326,0.05,36989485.355740726
160,Belarus,2000,9979610,0,8587,255.32373697999998,0.071052632,36503753.53372852
161,Belarus,2001,9928549,0,8345,248.88361351599997,0.078947368,37473205.0276012
162,Belarus,2002,9865548,0,8543,256.297016601,0.07631578900000001,37213129.16405348
163,Belarus,2003,9796749,0,9041,255.154912691,0.073684211,37800617.96960852
164,Belarus,2004,9730146,0,9760,287.385657409,0.08950026600000001,40961505.70396747
165,Belarus,2005,9663915,0,10303,286.351585,0.09736842099999998,40663164.295212284
166,Belarus,2006,9604924,0,11593,304.168303956,0.1,41639272.43044484
167,Belarus,2007,9560953,0,12775,296.991326604,0.131578947,40170718.453306794
168,Belarus,2008,9527985,0,14781,300.448865493,0.192105263,40670159.271445416
169,Belarus,2009,9506765,0,14573,284.765892676,0.278947369,38142006.16409189
170,Belarus,2010,9490583,0,16016,302.339529075,0.342105264,39676616.63901355
171,Belarus,2011,9473172,0,17918,300.596355134,0.371052632,36794774.96449297
172,Belarus,2012,9464495,0,18564,324.75436216,0.45526315799999995,36465865.55822317
173,Belarus,2013,9465997,0,19536,286.19673859700004,0.601052633,36160897.51353734
174,Belarus,2014,9474511,0,20037,295.935680456,0.555263159,36459984.65162861
175,Belgium,1990,9967379,0,23658,619.5183893999999,1.460526316,35901516.06577511
176,Belgium,1991,10004486,0,24295,641.1958282999999,1.410526316,35820391.76817235
177,Belgium,1992,10045158,0,25562,638.5121627,1.623684211,35232933.498982154
178,Belgium,1993,10084475,0,25349,628.7552102,1.334210527,35435769.57867493
179,Belgium,1994,10115603,0,26373,664.0666219,1.5789473689999998,37341954.47880209
180,Belgium,1995,10136811,0,27199,669.6678747999999,1.757894737,37464587.67215564
181,Belgium,1996,10156637,0,26748,712.44772558,1.476315789,36686332.20647542
182,Belgium,1997,10181245,0,28630,718.4285907000001,1.547368422,34296197.19391568
183,Belgium,1998,10203008,0,29919,732.7490302,1.997368421,37057780.4566172
184,Belgium,1999,10226419,0,31291,725.9768697500001,2.236842105,33070466.67647805
185,Belgium,2000,10251250,0,33427,742.2238496300001,2.747368421,34716958.54061347
186,Belgium,2001,10286570,0,33294,737.15429982,2.8289473689999998,32208767.593268834
187,Belgium,2002,10332785,0,34649,734.65827463,2.994736842,34651708.77548527
188,Belgium,2003,10376133,0,34312,763.4377412399999,3.136842105,34798983.28703917
189,Belgium,2004,10421137,0,34665,766.07402009,3.939473684,34775739.40981285
190,Belgium,2005,10478617,0,35284,759.3007442400001,5.542105263,35168859.00194236
191,Belgium,2006,10547958,0,35065,760.4512463799999,7.768421053,35126005.011907525
192,Belgium,2007,10625700,0,35943,765.4104013900001,9.173684211,35443354.58698538
193,Belgium,2008,10709973,0,36634,775.9187916799999,11.626315789,32234654.55875673
194,Belgium,2009,10796493,0,37260,722.91927587,14.313157892,28156736.420993064
195,Belgium,2010,10895586,0,38592,768.26906654,17.089473683,31244492.360990975
196,Belgium,2011,11047744,0,38130,710.7937376500001,22.044736839000002,29015780.61079049
197,Belgium,2012,11128246,0,38907,678.46790037,27.521052627000003,28044011.403281737
198,Belgium,2013,11182817,0,39398,693.06183346,30.717421049000002,25907479.537611946
199,Belgium,2014,11209057,0,39182,644.31702739,32.143449998,24914259.52005221
200,Brazil,1990,130645962,18706183,5647,903.627621805,554.12384873,31445271.95718776
201,Brazil,1991,136529107,15447470,5901,929.7592673620001,583.6358225199999,31827909.6757792
202,Brazil,1992,137259003,17305275,5999,983.917864278,600.71673874,33218930.634921283
